customerID,gender,SeniorCitizen,Partner,Dependents,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_bin,Customer_Status_Predicted
0162-VHVEG,Female,0,No,No,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,Yes,One year,No,Bank transfer (automatic),83.23,1246.94,1,25-36,0
0163-VHVEG,Male,1,Yes,No,No,No phone service,DSL,No,No,No internet service,No internet service,No,No internet service,Two year,No,Mailed check,83.35,3082.56,1,0-12,0
0164-VHVEG,Female,0,Yes,No,Yes,No phone service,No,Yes,No internet service,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),73.58,6717.22,1,25-36,1
0165-VHVEG,Female,1,No,Yes,No,No,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Bank transfer (automatic),29.03,1530.76,0,0-12,0
0166-VHVEG,Male,0,No,Yes,No,Yes,Fiber optic,Yes,No,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,103.53,7379.91,1,49-60,0
0167-VHVEG,Male,0,Yes,No,No,Yes,Fiber optic,No internet service,Yes,No,Yes,No internet service,No internet service,Two year,No,Bank transfer (automatic),52.08,7505.99,0,37-48,0
0168-VHVEG,Female,1,Yes,Yes,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No,One year,Yes,Electronic check,38.65,4616.46,0,13-24,0
0169-VHVEG,Male,0,Yes,No,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),24.08,156.83,0,25-36,1
0170-VHVEG,Male,0,No,No,No,No phone service,Fiber optic,No internet service,No internet service,No,No,No internet service,No internet service,One year,Yes,Mailed check,79.09,2654.64,1,61-72,0
0171-VHVEG,Female,0,No,Yes,No,No,DSL,No,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,87.76,5590.65,0,0-12,0
0172-VHVEG,Female,0,No,Yes,Yes,No phone service,No,No,No,Yes,No,No,Yes,Two year,Yes,Credit card (automatic),21.66,8832.56,0,49-60,1
0173-VHVEG,Male,0,Yes,No,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No,No,One year,No,Mailed check,71.21,5723.14,0,49-60,1
0174-VHVEG,Female,0,No,No,Yes,No phone service,DSL,No,No,No internet service,No,No,No,Two year,No,Mailed check,42.65,2412.25,0,0-12,1
0175-VHVEG,Female,0,Yes,Yes,No,No phone service,Fiber optic,Yes,No internet service,No,No internet service,Yes,No internet service,Two year,No,Electronic check,84.52,5742.65,0,25-36,0
0176-VHVEG,Male,1,No,Yes,Yes,No,Fiber optic,No,No,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,37.44,4905.87,1,61-72,1
0177-VHVEG,Male,0,No,No,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,No,One year,No,Bank transfer (automatic),89.09,7040.62,0,49-60,1
0178-VHVEG,Male,0,No,No,No,No,DSL,Yes,Yes,No,No internet service,Yes,No internet service,One year,No,Credit card (automatic),58.67,1052.13,0,37-48,0
0179-VHVEG,Male,1,No,Yes,No,No,DSL,No internet service,No internet service,No,Yes,Yes,No internet service,Two year,No,Mailed check,113.67,6873.15,1,61-72,0
0180-VHVEG,Male,1,Yes,No,No,No,DSL,Yes,Yes,No internet service,No,No internet service,Yes,Two year,Yes,Bank transfer (automatic),33.75,4917.27,0,49-60,0
0181-VHVEG,Female,1,Yes,No,No,Yes,No,No internet service,No internet service,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),54.11,8670.63,1,49-60,0
0182-VHVEG,Female,1,Yes,No,No,No phone service,No,No,No internet service,No,Yes,No,No internet service,Two year,No,Credit card (automatic),31.35,3142.66,1,37-48,0
0183-VHVEG,Female,0,Yes,Yes,No,No,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),112.47,5730.33,0,25-36,0
0184-VHVEG,Male,1,No,Yes,Yes,Yes,No,No internet service,Yes,No internet service,No internet service,No,Yes,Two year,Yes,Mailed check,107.73,8395.05,1,49-60,1
0185-VHVEG,Male,0,Yes,Yes,Yes,Yes,DSL,No,No internet service,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),45.79,1012.34,0,25-36,1
0186-VHVEG,Male,0,No,No,No,No phone service,Fiber optic,No,Yes,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),86,8441.33,1,13-24,0
0187-VHVEG,Female,1,Yes,Yes,Yes,No phone service,DSL,No,No,No,Yes,Yes,No,Two year,No,Electronic check,101.72,6222.18,1,25-36,1
0188-VHVEG,Male,1,No,No,No,Yes,DSL,No,No,No internet service,No,No internet service,Yes,Two year,No,Credit card (automatic),75.52,703.75,1,37-48,0
0189-VHVEG,Male,1,Yes,No,No,No,No,No,No internet service,No internet service,Yes,No,No internet service,One year,Yes,Bank transfer (automatic),72.97,2778.58,0,0-12,0
0190-VHVEG,Male,1,No,Yes,No,No phone service,No,Yes,No,No,No,No,No,One year,No,Credit card (automatic),44.19,6402.73,1,37-48,0
0191-VHVEG,Male,1,No,Yes,Yes,No,No,No internet service,No internet service,No,Yes,Yes,No,One year,Yes,Credit card (automatic),29.31,699.42,1,13-24,1
0192-VHVEG,Male,0,No,No,No,No,DSL,No,No internet service,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),109.72,5281.32,1,49-60,0
0193-VHVEG,Male,0,No,No,No,No,Fiber optic,Yes,No,No,Yes,Yes,No internet service,One year,Yes,Credit card (automatic),110.04,3178.36,1,49-60,0
0194-VHVEG,Female,0,Yes,No,Yes,No,Fiber optic,No,No,No,No internet service,No,Yes,Two year,Yes,Electronic check,83.31,5626.15,1,25-36,0
0195-VHVEG,Male,0,Yes,Yes,Yes,No,DSL,Yes,No internet service,No,No internet service,No internet service,No,Two year,No,Electronic check,53.9,507.1,0,49-60,1
0196-VHVEG,Female,1,No,Yes,No,No phone service,Fiber optic,Yes,No internet service,No internet service,No,Yes,No internet service,Two year,Yes,Bank transfer (automatic),54.92,7856.68,0,0-12,0
0197-VHVEG,Female,1,Yes,Yes,Yes,No,No,No,No internet service,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),92.6,8764.05,0,37-48,0
0198-VHVEG,Male,1,No,No,No,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,Yes,One year,Yes,Electronic check,109.71,8723.01,1,0-12,0
0199-VHVEG,Female,1,No,No,Yes,No phone service,No,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),108.71,6771.9,1,0-12,1
0200-VHVEG,Female,0,Yes,No,No,No,DSL,No,Yes,Yes,No internet service,Yes,No,Two year,No,Bank transfer (automatic),97.99,1257.77,0,61-72,0
0201-VHVEG,Female,1,No,No,No,No phone service,Fiber optic,No internet service,No internet service,No,Yes,Yes,Yes,One year,Yes,Mailed check,84.2,6848.54,1,13-24,0
0202-VHVEG,Female,0,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),28.41,318.82,0,13-24,0
0203-VHVEG,Female,1,Yes,Yes,No,No phone service,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),36.16,296.9,1,37-48,0
0204-VHVEG,Male,1,No,Yes,Yes,No,DSL,No,No,No internet service,No internet service,No,No,Two year,Yes,Electronic check,109.86,2980.13,0,49-60,1
0205-VHVEG,Male,0,Yes,Yes,No,Yes,Fiber optic,Yes,Yes,No internet service,No,No,No internet service,Month-to-month,Yes,Mailed check,80.64,4448.92,0,37-48,0
0206-VHVEG,Male,0,Yes,No,No,No,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No,One year,Yes,Credit card (automatic),20.92,6956.63,0,13-24,0
0207-VHVEG,Male,0,No,No,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,Yes,Credit card (automatic),30.15,6181.33,1,37-48,1
0208-VHVEG,Male,0,Yes,Yes,No,No phone service,Fiber optic,Yes,No internet service,No,No,No,No internet service,Two year,No,Bank transfer (automatic),86.35,4068.53,1,25-36,0
0209-VHVEG,Male,0,No,No,Yes,No,No,No internet service,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),20.51,2535.28,1,61-72,0
0210-VHVEG,Female,1,No,No,Yes,No,DSL,No,No internet service,No internet service,No,No,No,One year,Yes,Credit card (automatic),36.08,8974.41,1,37-48,1
0211-VHVEG,Male,0,Yes,No,No,No,No,No,No,No internet service,No,Yes,Yes,One year,Yes,Electronic check,74.87,3893.01,0,37-48,0
0212-VHVEG,Female,1,No,Yes,Yes,No,Fiber optic,No,Yes,No internet service,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),89.19,4117.34,1,61-72,0
0213-VHVEG,Male,1,No,Yes,No,No,DSL,Yes,Yes,Yes,Yes,No internet service,No internet service,Two year,No,Mailed check,85.2,1556.25,1,49-60,0
0214-VHVEG,Male,0,No,No,Yes,No phone service,No,No internet service,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,42.43,7173.8,1,13-24,1
0215-VHVEG,Female,1,Yes,Yes,No,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,No,Electronic check,91.22,6273.77,1,61-72,0
0216-VHVEG,Female,1,Yes,No,Yes,No phone service,DSL,Yes,Yes,No,No,No,Yes,Two year,No,Credit card (automatic),43.72,2064.85,1,13-24,0
0217-VHVEG,Female,1,No,No,Yes,Yes,No,No,Yes,No,No,No,No,One year,No,Credit card (automatic),52.54,833.19,1,0-12,1
0218-VHVEG,Female,0,No,Yes,No,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Electronic check,94.65,6156.44,0,0-12,1
0219-VHVEG,Male,0,No,Yes,Yes,No phone service,No,No internet service,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Credit card (automatic),84.96,5925.15,0,37-48,1
0220-VHVEG,Male,0,Yes,Yes,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),104.92,2532.01,1,0-12,0
0221-VHVEG,Female,1,Yes,Yes,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),85.76,8562.69,1,49-60,0
0222-VHVEG,Female,1,Yes,Yes,No,No,No,No internet service,No,No,No,No,No internet service,Month-to-month,Yes,Mailed check,76.83,1444.42,0,0-12,0
0223-VHVEG,Female,1,Yes,No,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No,One year,Yes,Bank transfer (automatic),29.37,3947.78,1,0-12,1
0224-VHVEG,Female,0,Yes,No,No,Yes,Fiber optic,No,No internet service,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),56.77,8498.18,0,37-48,0
0225-VHVEG,Male,1,Yes,Yes,Yes,No phone service,Fiber optic,No internet service,Yes,No,No,Yes,No,One year,Yes,Mailed check,46.52,3835.57,0,37-48,0
0226-VHVEG,Female,0,Yes,Yes,Yes,No phone service,No,No,No internet service,Yes,No internet service,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),44.4,5782.88,1,37-48,1
0227-VHVEG,Female,1,Yes,No,Yes,No phone service,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Mailed check,117.3,3638.59,0,37-48,0
0228-VHVEG,Female,1,Yes,No,No,No,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),59.31,2540.52,0,61-72,0
0229-VHVEG,Male,0,No,No,Yes,Yes,No,No internet service,No internet service,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,109.2,8857.4,1,13-24,0
0230-VHVEG,Female,1,Yes,Yes,Yes,Yes,DSL,No internet service,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,83.11,3743.07,0,37-48,1
0231-VHVEG,Male,1,Yes,No,Yes,Yes,DSL,No internet service,No internet service,Yes,No internet service,No,No,Month-to-month,No,Credit card (automatic),99.48,8057.48,0,0-12,1
0232-VHVEG,Male,1,Yes,No,Yes,No,DSL,No,Yes,No internet service,Yes,No,Yes,Two year,No,Electronic check,70.26,2146.6,1,13-24,0
0233-VHVEG,Female,1,Yes,Yes,Yes,No,No,No internet service,Yes,No internet service,No,No internet service,No,Month-to-month,No,Credit card (automatic),77.69,1996.63,0,13-24,1
0234-VHVEG,Female,1,No,Yes,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,Yes,Month-to-month,No,Mailed check,69.25,377.09,0,25-36,1
0235-VHVEG,Male,1,Yes,Yes,Yes,Yes,No,No,No,No internet service,No,No,No internet service,Two year,No,Electronic check,39.52,5899.83,0,13-24,1
0236-VHVEG,Male,0,Yes,No,No,No phone service,DSL,Yes,No,No internet service,No internet service,No,No,One year,No,Bank transfer (automatic),92.25,3379.88,0,13-24,0
0237-VHVEG,Female,0,Yes,No,Yes,Yes,No,No internet service,No internet service,No internet service,No,Yes,No internet service,One year,No,Electronic check,48.08,7792.79,0,0-12,1
0238-VHVEG,Male,0,Yes,No,No,No,Fiber optic,No internet service,No,Yes,No,No,No internet service,One year,Yes,Credit card (automatic),22.43,4311.57,0,49-60,0
0239-VHVEG,Female,0,Yes,Yes,Yes,No phone service,DSL,Yes,No,No,No,No internet service,Yes,Two year,No,Electronic check,84.55,8716.92,0,37-48,0
0240-VHVEG,Female,0,No,No,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),37.71,1751.18,0,0-12,1
0241-VHVEG,Male,0,No,No,No,No phone service,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,Yes,One year,No,Mailed check,114.05,7830.75,0,25-36,0
0242-VHVEG,Female,1,No,Yes,No,No,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Electronic check,115.39,7011.71,0,61-72,1
0243-VHVEG,Female,0,No,Yes,No,No phone service,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No,One year,Yes,Credit card (automatic),111.49,6961.2,1,25-36,0
0244-VHVEG,Female,0,Yes,No,No,No,DSL,Yes,No internet service,No internet service,No,Yes,No internet service,One year,No,Bank transfer (automatic),57.02,7618.57,0,37-48,0
0245-VHVEG,Male,0,Yes,No,No,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),21.55,6873.11,0,13-24,0
0246-VHVEG,Female,1,Yes,No,Yes,Yes,Fiber optic,No internet service,No,No,Yes,No,No,One year,No,Electronic check,112.83,5673.36,1,0-12,1
0247-VHVEG,Male,0,Yes,No,No,No phone service,No,No,No internet service,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,62.82,1268.08,0,0-12,0
0248-VHVEG,Male,1,Yes,No,No,No,DSL,Yes,No internet service,No internet service,No internet service,No,No internet service,One year,Yes,Credit card (automatic),116.67,389.48,1,37-48,1
0249-VHVEG,Female,1,Yes,No,Yes,Yes,DSL,No,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),116.36,8295.55,1,0-12,1
0250-VHVEG,Male,1,Yes,No,No,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),105.3,5588.19,1,0-12,0
0251-VHVEG,Male,1,Yes,No,Yes,No,DSL,No internet service,No internet service,Yes,No,No,Yes,Month-to-month,No,Mailed check,49.44,7189.18,0,13-24,0
0252-VHVEG,Female,0,Yes,No,No,No,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,58.51,4385.55,0,0-12,0
0253-VHVEG,Male,1,Yes,No,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No internet service,No internet service,Two year,Yes,Electronic check,105.11,1144.04,1,61-72,1
0254-VHVEG,Male,1,Yes,Yes,No,No phone service,No,No,No,No internet service,No internet service,No internet service,Yes,One year,Yes,Bank transfer (automatic),51.69,1214.15,1,49-60,0
0255-VHVEG,Female,1,Yes,Yes,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,Yes,Yes,One year,Yes,Credit card (automatic),36.95,6201.53,1,13-24,0
0256-VHVEG,Female,0,No,Yes,Yes,No,No,No internet service,Yes,No,No,No,No,Month-to-month,No,Electronic check,75.68,3929.72,1,0-12,1
0257-VHVEG,Male,1,No,Yes,Yes,No phone service,DSL,No internet service,Yes,No internet service,Yes,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),113.62,1884.67,1,49-60,1
0258-VHVEG,Male,1,Yes,No,No,No phone service,No,Yes,No,No internet service,No,Yes,No internet service,One year,No,Mailed check,89.6,4475.19,1,25-36,0
0259-VHVEG,Male,0,Yes,No,No,Yes,Fiber optic,Yes,No internet service,Yes,No,No internet service,No internet service,One year,No,Mailed check,77.01,671.46,1,61-72,0
0260-VHVEG,Female,0,Yes,Yes,Yes,No phone service,No,No internet service,No,No internet service,No,No internet service,Yes,Two year,No,Mailed check,29.72,5279.55,0,0-12,0
0261-VHVEG,Female,0,No,No,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),81.5,2494.04,1,61-72,0
0262-VHVEG,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,119.01,7198.28,0,13-24,0
0263-VHVEG,Male,0,No,No,No,No,Fiber optic,No,No,No internet service,Yes,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),34.01,2862.22,0,49-60,0
0264-VHVEG,Male,1,No,No,No,No,No,No,Yes,No internet service,Yes,Yes,No,One year,No,Credit card (automatic),71.83,4151.46,0,0-12,0
0265-VHVEG,Female,0,Yes,No,Yes,No,DSL,No,No internet service,No,Yes,No,No internet service,Two year,No,Mailed check,107.74,203.42,1,49-60,1
0266-VHVEG,Female,1,Yes,No,No,No,No,No,No internet service,Yes,No internet service,Yes,No,One year,No,Mailed check,94.08,744.78,1,0-12,0
0267-VHVEG,Female,1,No,No,No,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),89.7,3593.19,1,0-12,0
0268-VHVEG,Female,0,No,No,Yes,Yes,Fiber optic,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,90.25,4371.46,1,13-24,1
0269-VHVEG,Female,0,No,No,No,No,No,No,No,Yes,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),55.95,5440.18,1,0-12,0
0270-VHVEG,Male,0,Yes,No,Yes,No phone service,Fiber optic,Yes,No,No internet service,Yes,No internet service,No internet service,Two year,Yes,Electronic check,49.36,2695.8,1,13-24,1
0271-VHVEG,Female,0,Yes,Yes,No,No phone service,Fiber optic,Yes,No,No,Yes,No,No internet service,Two year,No,Electronic check,100.94,6285.34,1,13-24,0
0272-VHVEG,Male,1,No,Yes,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,No,One year,No,Credit card (automatic),101.01,7755.09,1,49-60,0
0273-VHVEG,Female,0,Yes,Yes,No,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No,No,Two year,No,Electronic check,106.71,7040.67,1,49-60,0
0274-VHVEG,Female,0,Yes,Yes,No,No phone service,Fiber optic,No,No internet service,No internet service,No,Yes,No,Month-to-month,No,Mailed check,111.32,452.61,1,25-36,0
0275-VHVEG,Male,0,No,No,Yes,Yes,No,Yes,No internet service,No,No,No internet service,Yes,Two year,Yes,Electronic check,71.13,4376.51,1,49-60,0
0276-VHVEG,Male,0,No,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer (automatic),70.15,1033.88,1,13-24,1
0277-VHVEG,Male,0,Yes,Yes,No,Yes,No,No internet service,No internet service,No internet service,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),99.83,2254.2,0,49-60,0
0278-VHVEG,Female,1,No,No,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,No internet service,No,Two year,No,Bank transfer (automatic),85,8881.3,1,25-36,1
0279-VHVEG,Male,1,Yes,Yes,Yes,No,DSL,No internet service,No,No,No,Yes,Yes,Two year,No,Bank transfer (automatic),90.2,1368.21,0,25-36,0
0280-VHVEG,Female,1,No,Yes,No,No,DSL,No internet service,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),99.58,4540.1,1,61-72,0
0281-VHVEG,Female,0,Yes,Yes,Yes,No phone service,No,No internet service,No internet service,No,No,No internet service,Yes,One year,No,Bank transfer (automatic),109,5601.59,0,0-12,0
0282-VHVEG,Male,0,Yes,No,No,Yes,Fiber optic,No,No,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),53.8,6351.94,1,37-48,1
0283-VHVEG,Female,1,No,Yes,No,No,DSL,Yes,No,Yes,No internet service,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),57.56,5080.87,0,0-12,0
0284-VHVEG,Male,0,Yes,No,No,No,No,No,No,Yes,Yes,No internet service,No internet service,Two year,No,Mailed check,29.4,186.96,0,0-12,0
0285-VHVEG,Male,1,Yes,Yes,Yes,No,DSL,No,No internet service,No,No,Yes,No internet service,Two year,Yes,Electronic check,77.83,3005.51,1,0-12,1
0286-VHVEG,Female,1,No,Yes,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No,No internet service,Two year,No,Credit card (automatic),23.59,4707.63,0,0-12,1
0287-VHVEG,Female,1,No,Yes,Yes,No,DSL,No,Yes,No,No,Yes,No internet service,One year,Yes,Mailed check,66.56,882.01,0,37-48,1
0288-VHVEG,Male,1,No,No,Yes,No,Fiber optic,No internet service,No internet service,Yes,No,No internet service,No internet service,One year,Yes,Bank transfer (automatic),74.26,3220.58,0,25-36,1
0289-VHVEG,Male,0,No,Yes,Yes,Yes,DSL,Yes,No internet service,No internet service,Yes,Yes,No internet service,One year,No,Bank transfer (automatic),48.65,395.51,0,61-72,1
0290-VHVEG,Male,1,No,No,Yes,No,No,No internet service,No internet service,No internet service,Yes,No internet service,Yes,Two year,No,Bank transfer (automatic),79.08,799.35,1,49-60,0
0291-VHVEG,Male,0,No,No,No,No,Fiber optic,No,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),23.05,3632.62,0,49-60,0
0292-VHVEG,Female,0,Yes,No,Yes,No,DSL,No internet service,No,No,Yes,No,No,Two year,Yes,Mailed check,23.73,1281.17,1,25-36,1
0293-VHVEG,Female,1,No,Yes,Yes,No,No,Yes,Yes,No internet service,Yes,Yes,Yes,One year,No,Mailed check,102.26,5151.11,1,25-36,1
0294-VHVEG,Male,1,Yes,No,No,Yes,Fiber optic,No internet service,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.02,6236.24,1,37-48,0
0295-VHVEG,Female,0,Yes,No,Yes,No,DSL,No,No internet service,No,No internet service,No internet service,No,One year,Yes,Mailed check,32.71,7225.22,0,61-72,1
0296-VHVEG,Female,1,No,No,No,No,No,No,Yes,No,No,Yes,No,Two year,No,Credit card (automatic),72.22,1881.34,1,0-12,0
0297-VHVEG,Male,1,No,Yes,No,No phone service,Fiber optic,No internet service,Yes,No,No,No,No,One year,Yes,Credit card (automatic),97,1590.59,0,49-60,0
0298-VHVEG,Male,0,No,Yes,Yes,Yes,Fiber optic,No internet service,Yes,Yes,No internet service,No internet service,No,Two year,No,Bank transfer (automatic),41.58,1030.65,0,37-48,0
0299-VHVEG,Male,0,Yes,Yes,Yes,No,DSL,Yes,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,Yes,Mailed check,82.29,5764.23,1,0-12,0
0300-VHVEG,Female,1,Yes,No,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No,Yes,Month-to-month,Yes,Mailed check,28.53,6387.63,0,49-60,0
0301-VHVEG,Female,1,No,Yes,No,No,Fiber optic,No,No internet service,No,Yes,No internet service,No,Month-to-month,Yes,Electronic check,25.17,381.12,1,13-24,0
0302-VHVEG,Female,1,Yes,Yes,No,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),73.14,8432.29,0,61-72,0
0303-VHVEG,Female,1,No,Yes,No,No phone service,No,Yes,No internet service,No internet service,Yes,No,No internet service,Month-to-month,Yes,Mailed check,74.06,562.54,0,49-60,0
0304-VHVEG,Female,1,No,No,No,No,DSL,Yes,No,No internet service,No,No,No,Month-to-month,No,Mailed check,83.74,4917.54,0,49-60,0
0305-VHVEG,Male,1,No,No,Yes,No phone service,DSL,Yes,No,No internet service,No internet service,Yes,No,Two year,Yes,Electronic check,92.61,6410.64,1,0-12,1
0306-VHVEG,Male,1,Yes,Yes,Yes,Yes,No,No,No,No,No internet service,Yes,Yes,Month-to-month,No,Credit card (automatic),117.59,7851.63,0,25-36,0
0307-VHVEG,Male,1,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),71.63,6455.37,1,0-12,1
0308-VHVEG,Female,0,Yes,No,Yes,No phone service,Fiber optic,No internet service,No internet service,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,52.3,7235.38,1,37-48,0
0309-VHVEG,Female,0,Yes,No,No,Yes,DSL,No internet service,Yes,No,No,No internet service,No,Two year,No,Bank transfer (automatic),99.52,3121.11,1,49-60,0
0310-VHVEG,Female,0,No,Yes,No,No phone service,No,No,Yes,No,No internet service,Yes,No,Two year,No,Mailed check,47.08,7351.94,1,13-24,0
0311-VHVEG,Female,0,No,No,Yes,No phone service,No,Yes,No internet service,No,No internet service,Yes,Yes,Two year,No,Credit card (automatic),63.9,813.02,0,0-12,0
0312-VHVEG,Male,0,No,Yes,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Two year,No,Credit card (automatic),27.85,8063.87,0,25-36,0
0313-VHVEG,Male,1,No,No,No,No phone service,No,Yes,No internet service,No,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,22.54,4973.57,0,25-36,0
0314-VHVEG,Male,0,No,Yes,Yes,No,Fiber optic,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),116.26,7373.95,1,25-36,0
0315-VHVEG,Female,0,Yes,Yes,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),103.6,4125.63,0,37-48,0
0316-VHVEG,Female,0,No,No,Yes,No phone service,No,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,89.6,5827.84,1,25-36,1
0317-VHVEG,Male,0,No,Yes,No,Yes,Fiber optic,No,No internet service,No internet service,No,Yes,Yes,Two year,No,Bank transfer (automatic),60.9,4784.98,0,61-72,1
0318-VHVEG,Female,1,No,No,No,No,Fiber optic,No internet service,No,Yes,No,No,No internet service,Month-to-month,No,Mailed check,37.33,6611.15,0,61-72,0
0319-VHVEG,Male,0,Yes,Yes,Yes,No phone service,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,One year,No,Electronic check,35.64,826.51,0,61-72,0
0320-VHVEG,Female,1,No,No,Yes,No phone service,Fiber optic,No,No,No,Yes,No internet service,No,Two year,Yes,Bank transfer (automatic),45.02,637.13,0,25-36,1
0321-VHVEG,Female,1,No,Yes,Yes,Yes,Fiber optic,No,No,No internet service,No internet service,No,No internet service,Two year,Yes,Credit card (automatic),74.92,2299.22,0,49-60,0
0322-VHVEG,Female,1,Yes,No,No,No,DSL,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.46,1519.95,1,61-72,0
